ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
1,"White",2020,"2020",59591,2873,"Lincoln County, WA","05000US53043","lincoln-county-wa"
1,"White",2020,"2020",62370,3440.0000000000005,"Mason County, WA","05000US53045","mason-county-wa"
1,"White",2020,"2020",49346,2128,"Okanogan County, WA","05000US53047","okanogan-county-wa"
1,"White",2020,"2020",51728,2741,"Pacific County, WA","05000US53049","pacific-county-wa"
1,"White",2020,"2020",56185,4899,"Pend Oreille County, WA","05000US53051","pend-oreille-county-wa"
1,"White",2020,"2020",80647,906,"Pierce County, WA","05000US53053","pierce-county-wa"
1,"White",2020,"2020",65142,2481,"San Juan County, WA","05000US53055","san-juan-county-wa"
1,"White",2020,"2020",71412,1666,"Skagit County, WA","05000US53057","skagit-county-wa"
1,"White",2020,"2020",68257,5544,"Skamania County, WA","05000US53059","skamania-county-wa"
1,"White",2020,"2020",90134,1313,"Snohomish County, WA","05000US53061","snohomish-county-wa"
1,"White",2020,"2020",60939,908.9999999999999,"Spokane County, WA","05000US53063","spokane-county-wa"
1,"White",2020,"2020",55691,3425.0000000000005,"Stevens County, WA","05000US53065","stevens-county-wa"
1,"White",2020,"2020",77705,1631,"Thurston County, WA","05000US53067","thurston-county-wa"
1,"White",2020,"2020",54926,5250,"Wahkiakum County, WA","05000US53069","wahkiakum-county-wa"
1,"White",2020,"2020",62819,2241,"Walla Walla County, WA","05000US53071","walla-walla-county-wa"
1,"White",2020,"2020",66498,2431,"Whatcom County, WA","05000US53073","whatcom-county-wa"
1,"White",2020,"2020",44522,3237,"Whitman County, WA","05000US53075","whitman-county-wa"
1,"White",2020,"2020",56287,1330,"Yakima County, WA","05000US53077","yakima-county-wa"
2,"Black",2020,"2020",40461,19250,"Benton County, WA","05000US53005","benton-county-wa"
2,"Black",2020,"2020",30938,5024,"Chelan County, WA","05000US53007","chelan-county-wa"
2,"Black",2020,"2020",31601,1327,"Clallam County, WA","05000US53009","clallam-county-wa"
2,"Black",2020,"2020",61475,13665.999999999998,"Clark County, WA","05000US53011","clark-county-wa"
2,"Black",2020,"2020",68118,22589,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
